model,rank,user_idx,user_id,item_idx,item_id,title,genres,score
gmf,1,0,1,317,318,Schindler's List (1993),Drama|War,0.8338505029678345
gmf,2,0,1,356,357,One Flew Over the Cuckoo's Nest (1975),Drama,0.7913267612457275
gmf,3,0,1,422,423,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,0.7909047603607178
gmf,4,0,1,285,286,"English Patient, The (1996)",Drama|Romance|War,0.7633308172225952
gmf,5,0,1,482,483,Casablanca (1942),Drama|Romance|War,0.748321533203125
gmf,6,0,1,312,313,Titanic (1997),Action|Drama|Romance,0.7388748526573181
gmf,7,0,1,287,288,Scream (1996),Horror|Thriller,0.6971981525421143
gmf,8,0,1,299,300,Air Force One (1997),Action|Thriller,0.6677693724632263
gmf,9,0,1,293,294,Liar Liar (1997),Comedy,0.641950786113739
gmf,10,0,1,426,427,To Kill a Mockingbird (1962),Drama,0.6404330730438232
gmf,1,1,2,173,174,Raiders of the Lost Ark (1981),Action|Adventure,0.748904824256897
gmf,2,1,2,180,181,Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,0.7279213666915894
gmf,3,1,2,171,172,"Empire Strikes Back, The (1980)",Action|Adventure|Drama|Romance|Sci-Fi|War,0.7249658107757568
gmf,4,1,2,97,98,"Silence of the Lambs, The (1991)",Drama|Thriller,0.7231574058532715
gmf,5,1,2,78,79,"Fugitive, The (1993)",Action|Thriller,0.6842806339263916
gmf,6,1,2,55,56,Pulp Fiction (1994),Crime|Drama,0.6797518730163574
gmf,7,1,2,209,210,Indiana Jones and the Last Crusade (1989),Action|Adventure,0.667739748954773
gmf,8,1,2,203,204,Back to the Future (1985),Comedy|Sci-Fi,0.65367192029953
gmf,9,1,2,167,168,Monty Python and the Holy Grail (1974),Comedy,0.647457480430603
gmf,10,1,2,63,64,"Shawshank Redemption, The (1994)",Drama,0.6315270662307739
gmf,1,2,3,49,50,Star Wars (1977),Action|Adventure|Romance|Sci-Fi|War,0.40256527066230774
gmf,2,2,3,99,100,Fargo (1996),Crime|Drama|Thriller,0.3833294212818146
gmf,3,2,3,173,174,Raiders of the Lost Ark (1981),Action|Adventure,0.3693392872810364
